country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,8.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Afghanistan,AF,AFG,4,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,8.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Afghanistan,AF,AFG,4,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,8.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Albania,AL,ALB,8,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,21.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Albania,AL,ALB,8,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,18.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Albania,AL,ALB,8,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,19.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Algeria,DZ,DZA,12,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,38.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Algeria,DZ,DZA,12,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,32.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Algeria,DZ,DZA,12,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,32.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Angola,AO,AGO,24,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,21,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Angola,AO,AGO,24,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,22.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Angola,AO,AGO,24,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,21.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Antigua and Barbuda,AG,ATG,28,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,28.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Argentina,AR,ARG,32,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,29.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
